feedback_id,customer_id,shipment_id,rating,complaint_flag,feedback_text,response_time_hr,feedback_date
1,1497,1,1,1,Service feedback 1,59.74,2024-10-20
2,1652,2,2,0,Service feedback 2,21.46,2024-04-22
3,926,3,5,0,Service feedback 3,13.48,2024-11-19
4,1461,4,3,0,Service feedback 4,61.14,2024-11-18
5,3811,5,2,0,Service feedback 5,60.0,2024-01-17
6,3352,6,2,1,Service feedback 6,9.2,2025-01-10
7,3262,7,4,0,Service feedback 7,13.66,2024-12-22
8,2765,8,5,0,Service feedback 8,65.05,2024-03-24
9,2257,9,4,0,Service feedback 9,57.12,2024-05-21
10,2985,10,5,0,Service feedback 10,23.47,2025-01-04
11,4188,11,2,0,Service feedback 11,71.04,2024-07-23
12,1197,12,3,0,Service feedback 12,9.0,2025-01-15
13,1096,13,3,1,Service feedback 13,69.76,2024-08-12
14,3169,14,1,1,Service feedback 14,66.08,2024-02-06
15,4586,15,1,1,Service feedback 15,70.6,2024-05-26
16,3177,16,2,1,Service feedback 16,41.43,2024-08-10
17,275,17,1,1,Service feedback 17,35.27,2024-09-18
18,3166,18,3,0,Service feedback 18,19.74,2024-01-26
19,477,19,2,0,Service feedback 19,46.91,2024-05-25
20,1150,20,3,1,Service feedback 20,8.52,2024-04-23
21,4524,21,5,0,Service feedback 21,29.35,2024-09-12
22,4552,22,5,0,Service feedback 22,32.23,2024-10-24
23,935,23,2,1,Service feedback 23,45.06,2024-09-20
24,3078,24,4,0,Service feedback 24,7.14,2024-06-11
25,1700,25,4,1,Service feedback 25,25.03,2024-12-19
26,3059,26,4,0,Service feedback 26,47.31,2024-05-20
27,2126,27,2,1,Service feedback 27,46.66,2024-10-05
28,284,28,2,1,Service feedback 28,63.15,2024-10-07
29,228,29,5,0,Service feedback 29,15.44,2024-09-15
30,1408,30,1,0,Service feedback 30,27.83,2024-10-27
31,1910,31,5,1,Service feedback 31,35.06,2025-01-06
32,2164,32,3,1,Service feedback 32,56.95,2024-05-25
33,2919,33,3,0,Service feedback 33,23.59,2024-01-05
34,1177,34,5,0,Service feedback 34,49.28,2024-03-03
35,1971,35,1,0,Service feedback 35,55.39,2024-07-03
36,3066,36,4,0,Service feedback 36,44.03,2024-01-11
37,4760,37,1,0,Service feedback 37,63.02,2024-10-08
38,1186,38,4,0,Service feedback 38,49.97,2024-04-28
39,2402,39,2,1,Service feedback 39,3.1,2024-10-07
40,11,40,5,0,Service feedback 40,68.8,2024-07-18
41,4614,41,5,1,Service feedback 41,45.5,2024-09-11
42,2832,42,1,0,Service feedback 42,46.63,2024-06-16
43,4081,43,1,1,Service feedback 43,61.0,2024-04-09
44,3001,44,2,1,Service feedback 44,16.2,2024-01-22
