partner_id,partner_name,vehicle_type,driver_name,experience_years,rating,city,availability_status
1,UPS Logistics,Cargo Van,Driver_1,1,3.86,Toronto,Busy
2,DHL Express,Cargo Van,Driver_2,3,3.08,Mumbai,Busy
3,Maersk Logistics,Ship,Driver_3,4,3.84,Mumbai,Available
4,DB Schenker,Ship,Driver_4,1,3.88,Sydney,Offline
5,XPO Logistics,Ship,Driver_5,3,3.3,New York,Offline
6,C.H. Robinson,Ship,Driver_6,12,4.68,Dubai,Offline
7,Nippon Express,Ship,Driver_7,20,4.49,Toronto,Busy
8,Kuehne + Nagel,Ship,Driver_8,7,4.56,Berlin,Busy
9,SF Express,Air Freight,Driver_9,6,4.75,London,Offline
10,Blue Dart Express,Cargo Van,Driver_10,6,3.34,Berlin,Busy
11,UPS Logistics,Ship,Driver_11,1,3.45,Toronto,Offline
12,DHL Express,Ship,Driver_12,17,3.23,London,Busy
13,Maersk Logistics,Truck,Driver_13,19,4.14,Toronto,Offline
14,DB Schenker,Ship,Driver_14,4,3.53,Berlin,Offline
15,XPO Logistics,Air Freight,Driver_15,12,3.01,London,Available
16,C.H. Robinson,Ship,Driver_16,14,4.85,Sydney,Busy
17,Nippon Express,Ship,Driver_17,9,3.56,Mumbai,Available
18,Kuehne + Nagel,Air Freight,Driver_18,3,4.05,Toronto,Available
19,SF Express,Truck,Driver_19,15,4.95,Dubai,Offline
20,Blue Dart Express,Ship,Driver_20,18,4.43,Dubai,Offline
21,UPS Logistics,Ship,Driver_21,11,3.07,Dubai,Busy
22,DHL Express,Cargo Van,Driver_22,16,4.84,London,Available
23,Maersk Logistics,Ship,Driver_23,1,4.98,Singapore,Available
24,DB Schenker,Ship,Driver_24,22,3.59,London,Offline
25,XPO Logistics,Cargo Van,Driver_25,22,3.9,London,Available
26,C.H. Robinson,Air Freight,Driver_26,15,4.06,Singapore,Offline
27,Nippon Express,Truck,Driver_27,7,3.97,London,Offline
28,Kuehne + Nagel,Ship,Driver_28,11,4.86,Mumbai,Offline
29,SF Express,Truck,Driver_29,14,3.6,Sydney,Available
30,Blue Dart Express,Cargo Van,Driver_30,4,4.42,Berlin,Offline
31,UPS Logistics,Truck,Driver_31,8,4.14,Berlin,Offline
32,DHL Express,Truck,Driver_32,22,4.69,Berlin,Busy
33,Maersk Logistics,Air Freight,Driver_33,11,3.94,Singapore,Available
34,DB Schenker,Ship,Driver_34,13,3.93,New York,Available
35,XPO Logistics,Cargo Van,Driver_35,18,4.02,New York,Busy
36,C.H. Robinson,Air Freight,Driver_36,24,3.42,Mumbai,Available
37,Nippon Express,Cargo Van,Driver_37,7,3.57,New York,Busy
38,Kuehne + Nagel,Air Freight,Driver_38,10,3.37,Toronto,Offline
39,SF Express,Cargo Van,Driver_39,22,3.37,Singapore,Busy
40,Blue Dart Express,Truck,Driver_40,21,3.48,Singapore,Offline
41,UPS Logistics,Ship,Driver_41,16,4.95,New York,Busy
42,DHL Express,Air Freight,Driver_42,24,3.1,Dubai,Available
43,Maersk Logistics,Ship,Driver_43,7,3.53,Dubai,Offline
44,DB Schenker,Truck,Driver_44,2,3.23,Sydney,Offline
45,XPO Logistics,Cargo Van,Driver_45,13,3.96,Mumbai,Available
46,C.H. Robinson,Cargo Van,Driver_46,13,4.16,Mumbai,Offline
