performance_id,shipment_id,actual_delivery_time_hr,delay_flag,delay_reason,cost_per_shipment_usd,on_time_delivery,customer_satisfaction_score
1,1,14.01,0,Documentation Issue,1375.32,0,3
2,2,119.95,1,Mechanical Issue,210.04,0,4
3,3,53.48,1,Documentation Issue,1676.4,0,2
4,4,44.24,1,None,1737.75,1,3
5,5,96.58,0,None,1896.35,0,5
6,6,92.34,1,Traffic,1930.48,1,3
7,7,129.38,0,Traffic,271.16,0,4
8,8,134.53,1,Traffic,1367.02,0,4
9,9,133.56,0,Traffic,153.29,0,5
10,10,139.6,0,Mechanical Issue,1741.45,0,2
11,11,125.11,0,Weather,1442.88,0,5
12,12,19.87,1,Mechanical Issue,511.0,0,1
13,13,55.32,1,Operational Delay,1373.29,0,3
14,14,98.25,0,Weather,534.6,0,4
15,15,125.65,1,Customs,1325.56,0,3
16,16,16.54,0,Weather,1838.71,0,3
17,17,44.34,0,Mechanical Issue,1961.3,0,4
18,18,71.73,1,None,574.06,1,4
19,19,7.02,0,Documentation Issue,1426.7,1,3
20,20,135.28,0,Operational Delay,663.08,1,1
21,21,94.18,0,Customs,345.61,0,4
22,22,134.61,1,Mechanical Issue,72.88,0,1
23,23,18.81,1,Mechanical Issue,1751.11,0,3
24,24,139.0,1,Documentation Issue,680.03,1,5
25,25,101.29,0,Documentation Issue,632.62,1,5
26,26,107.73,1,Customs,337.8,0,3
27,27,117.08,0,Weather,1198.22,0,4
28,28,43.12,0,Mechanical Issue,891.56,1,4
29,29,17.9,1,None,1745.66,1,2
30,30,90.54,0,Customs,1185.97,1,5
31,31,80.02,0,Documentation Issue,1682.44,0,1
32,32,136.2,0,Traffic,689.21,1,2
33,33,71.52,0,Operational Delay,1127.88,1,1
34,34,96.04,0,Weather,1126.15,1,4
35,35,62.17,1,Traffic,176.39,1,1
36,36,107.59,1,Mechanical Issue,1097.0,0,1
37,37,47.45,0,Mechanical Issue,786.91,0,1
38,38,22.29,1,Mechanical Issue,1483.34,0,3
39,39,64.96,0,Operational Delay,1885.28,0,5
40,40,101.8,0,Weather,1565.37,1,4
41,41,59.12,1,None,680.7,1,5
42,42,135.41,1,None,1572.16,1,5
43,43,82.37,1,Traffic,1507.39,0,2
44,44,15.39,0,Documentation Issue,682.47,0,5
45,45,109.21,1,None,1618.5,1,2
46,46,73.3,0,None,1180.03,0,2
47,47,71.24,1,Weather,638.64,0,4
48,48,98.45,0,Traffic,1345.49,0,1
49,49,84.64,0,Operational Delay,1089.22,0,1
50,50,137.97,0,Documentation Issue,1928.2,0,2
51,51,103.71,1,Mechanical Issue,944.2,1,5
52,52,138.19,1,Weather,79.45,0,2
53,53,56.8,0,Traffic,628.29,0,1
54,54,10.17,1,Operational Delay,1817.42,1,5
55,55,28.63,1,None,1273.82,1,5
56,56,71.75,1,Documentation Issue,582.17,1,5
57,57,87.79,0,Traffic,1465.32,1,1
58,58,86.97,1,Weather,282.32,0,3
59,59,50.1,0,Customs,84.69,0,4
60,60,116.87,1,Operational Delay,1903.59,1,2
61,61,122.26,0,Customs,1639.01,1,4
62,62,43.41,0,Traffic,702.03,1,2
63,63,111.76,1,Operational Delay,136.24,0,1
64,64,6.5,0,Weather,1268.03,1,2
65,65,116.01,1,None,1705.63,1,1
66,66,132.74,1,Mechanical Issue,1467.34,0,1
67,67,65.36,0,None,905.1,0,1
68,68,46.3,1,None,912.32,0,2
69,69,113.46,0,Weather,1248.18,0,4
70,70,120.85,1,Mechanical Issue,1746.06,0,1
71,71,127.09,0,Weather,821.11,0,5
72,72,104.49,1,None,1629.79,0,4
73,73,121.44,0,Operational Delay,1403.1,0,3
74,74,124.82,0,Operational Delay,670.97,1,2
75,75,72.36,0,None,626.4,0,4
76,76,55.62,0,None,1542.91,0,5
77,77,86.42,0,None,602.47,1,5
78,78,106.31,1,Weather,330.04,0,1
79,79,12.16,1,Weather,857.83,0,4
80,80,61.97,1,None,622.23,0,3
81,81,53.37,1,None,1283.84,0,2
82,82,104.21,0,Customs,1001.24,0,3
83,83,127.82,1,Customs,253.6,0,4
84,84,113.22,0,Documentation Issue,1680.57,0,5
85,85,11.23,1,Weather,1901.5,1,4
86,86,107.64,0,Traffic,253.95,1,4
87,87,121.02,1,Traffic,91.35,1,2
88,88,128.67,1,Operational Delay,1076.5,0,3
89,89,28.5,1,Customs,532.15,1,4
90,90,69.86,1,Customs,45.22,0,4
91,91,60.76,1,None,1614.97,1,4
92,92,26.56,0,Traffic,399.6,0,4
93,93,69.8,1,None,435.08,1,4
94,94,39.57,0,Traffic,662.82,0,5
95,95,69.49,1,Documentation Issue,1003.94,1,1
96,96,71.75,1,Documentation Issue,125.52,1,1
97,97,107.59,0,None,931.93,0,1
98,98,104.69,1,Customs,592.01,1,4
99,99,76.85,1,Customs,1191.57,1,2
100,100,39.67,0,Traffic,227.55,0,5
101,101,67.33,1,Weather,825.53,0,4
102,102,65.51,1,Customs,120.51,0,1
103,103,113.56,1,Mechanical Issue,1720.76,0,3
104,104,85.27,0,Traffic,1401.57,1,5
105,105,63.64,0,Traffic,682.19,1,4
106,106,85.42,0,None,702.56,1,5
107,107,33.37,0,None,1545.88,0,4
108,108,55.02,1,Operational Delay,1340.99,1,1
109,109,62.56,0,Documentation Issue,860.87,1,3
110,110,108.01,0,None,490.32,0,4
111,111,135.86,1,Documentation Issue,1766.73,1,1
112,112,8.36,1,Weather,1985.81,1,1
113,113,8.21,0,Weather,1134.4,1,1
114,114,97.19,1,Customs,796.26,0,3
115,115,134.38,1,Weather,689.46,0,3
116,116,109.47,0,Mechanical Issue,171.58,1,1
117,117,61.36,1,Customs,1000.08,1,5
118,118,34.31,1,None,1236.45,1,1
119,119,70.58,0,Operational Delay,1583.86,1,5
120,120,61.84,1,Documentation Issue,936.5,1,5
121,121,124.87,0,Customs,1550.8,1,4
122,122,56.82,1,Traffic,1282.48,0,4
123,123,87.6,1,Customs,903.85,1,1
124,124,90.12,0,Mechanical Issue,1571.4,1,4
125,125,12.1,0,Weather,1688.72,1,5
126,126,107.68,1,Documentation Issue,1739.87,1,3
127,127,103.93,0,Documentation Issue,122.84,0,1
128,128,100.82,1,Operational Delay,1247.56,0,5
129,129,139.46,0,Traffic,468.87,0,5
130,130,5.56,1,None,1359.78,0,4
131,131,111.31,0,Operational Delay,1465.15,0,5
132,132,27.63,0,Weather,965.45,1,2
133,133,115.78,0,Operational Delay,434.33,0,5
134,134,129.56,0,Mechanical Issue,1574.06,0,1
135,135,50.56,0,Traffic,640.25,0,3
136,136,121.47,1,Weather,645.89,1,1
137,137,48.97,0,Customs,1152.73,1,5
138,138,18.49,0,None,55.31,1,3
139,139,64.48,1,Documentation Issue,1611.08,0,4
140,140,59.11,0,Traffic,1234.79,1,3
141,141,116.33,0,Weather,1239.56,0,3
