route_id,origin_city,destination_city,distance_km,estimated_time_hr,transport_mode,fuel_cost_usd,risk_score
1,Dubai,Berlin,1307,73.62,Truck,4543.54,1.65
2,Berlin,London,5124,13.91,Air Freight,4550.47,7.95
3,Dubai,Toronto,3374,26.97,Ship,3551.9,9.16
4,Sydney,London,2218,73.67,Ship,5318.07,9.34
5,Singapore,Singapore,8412,95.83,Cargo Van,1086.04,8.62
6,Dubai,Berlin,1238,84.26,Air Freight,5521.06,4.57
7,Toronto,New York,4537,48.31,Truck,3464.88,2.11
8,London,Dubai,8466,34.31,Ship,4856.07,1.38
9,Mumbai,Mumbai,8894,53.02,Air Freight,7564.05,6.51
10,Sydney,Toronto,7011,51.04,Air Freight,5167.32,7.1
11,Singapore,Berlin,3453,31.61,Air Freight,4954.16,3.28
12,London,Toronto,11534,57.02,Truck,2679.03,7.68
13,Toronto,Dubai,4853,9.81,Cargo Van,4094.79,4.87
14,Berlin,Singapore,5600,67.42,Cargo Van,1898.35,5.79
15,Sydney,Sydney,8773,77.65,Air Freight,4242.31,1.38
16,Berlin,New York,11610,31.25,Air Freight,1923.44,6.95
17,Singapore,Sydney,4057,90.54,Cargo Van,3057.66,8.54
18,Singapore,Toronto,10313,45.61,Ship,4079.21,7.24
19,New York,Dubai,8383,78.44,Ship,4098.44,1.81
20,Berlin,Toronto,84,25.14,Cargo Van,594.6,2.98
21,Toronto,Dubai,3266,82.32,Cargo Van,4463.74,7.01
22,Mumbai,Mumbai,843,52.71,Ship,3079.53,3.8
23,Singapore,Sydney,10385,5.52,Ship,663.94,7.83
24,Sydney,Berlin,6321,42.35,Ship,7204.71,6.08
25,Mumbai,Berlin,1079,60.35,Cargo Van,5643.4,9.18
26,Sydney,London,6167,30.22,Cargo Van,2556.8,7.0
27,Dubai,Sydney,8546,11.61,Air Freight,1578.97,4.78
28,Sydney,Berlin,3351,90.27,Ship,5779.11,5.99
29,Berlin,Dubai,3136,33.44,Cargo Van,7936.6,9.49
30,Dubai,Singapore,6087,52.75,Truck,3553.83,2.62
31,New York,Singapore,441,33.01,Ship,2013.27,3.37
32,Sydney,Toronto,10302,74.27,Truck,7926.3,4.57
33,Mumbai,Singapore,2351,4.1,Ship,4655.0,9.98
34,Berlin,London,1353,77.46,Ship,1056.16,7.72
35,London,Sydney,10661,50.96,Ship,6423.18,1.34
36,Mumbai,Toronto,4487,79.43,Ship,7797.75,2.26
37,Singapore,Mumbai,10760,69.79,Cargo Van,3284.36,2.04
38,Mumbai,Singapore,9339,57.53,Ship,7849.25,7.83
39,Dubai,Berlin,10368,62.66,Air Freight,3702.13,1.63
40,Dubai,Dubai,1545,59.64,Air Freight,4046.57,4.01
41,Singapore,Toronto,11542,94.16,Ship,6068.68,7.25
42,New York,London,8101,65.57,Cargo Van,6807.41,6.72
43,Berlin,Sydney,8080,23.52,Ship,6736.68,9.76
44,Mumbai,Dubai,8941,13.98,Truck,870.17,3.95
45,London,New York,6519,90.76,Cargo Van,3260.98,5.82
46,Sydney,New York,1335,45.65,Ship,556.65,3.2
47,London,Toronto,9917,16.19,Air Freight,4042.46,5.51
48,Dubai,New York,7375,79.39,Ship,4221.55,9.87
49,Singapore,Dubai,1414,67.42,Truck,1539.43,4.94
50,New York,Singapore,7512,65.93,Air Freight,6369.0,4.12
51,New York,Sydney,377,42.51,Air Freight,6929.12,9.48
52,London,Singapore,7757,36.42,Air Freight,5374.06,7.71
53,Toronto,Singapore,5997,12.18,Truck,4950.26,3.29
54,London,London,10002,11.96,Truck,1534.58,4.0
55,New York,Dubai,5793,54.61,Truck,5773.64,2.75
56,Toronto,London,3807,51.68,Cargo Van,2345.71,6.41
57,Toronto,Sydney,7186,31.61,Cargo Van,2367.81,2.19
58,New York,Dubai,317,34.16,Ship,530.85,1.57
59,London,Mumbai,1505,18.79,Cargo Van,1974.15,6.66
60,Sydney,London,1387,5.46,Cargo Van,2275.6,1.82
61,Berlin,Dubai,2498,80.05,Ship,883.69,5.88
62,Mumbai,Singapore,11068,34.31,Air Freight,903.86,5.69
63,London,Mumbai,7863,2.66,Truck,4713.64,5.0
64,London,Sydney,6484,58.1,Air Freight,2928.59,7.41
65,Berlin,Dubai,2124,48.58,Air Freight,3558.98,9.07
66,New York,London,6951,41.93,Air Freight,3475.95,4.59
67,Toronto,Sydney,7689,57.58,Air Freight,252.38,4.66
68,Mumbai,London,7849,64.0,Cargo Van,1923.49,4.04
69,Mumbai,Toronto,3870,86.22,Ship,1996.79,2.25
70,Toronto,Sydney,2584,55.54,Air Freight,3821.48,8.59
71,Singapore,Toronto,3799,93.86,Ship,3282.83,4.01
72,Berlin,Sydney,4001,65.49,Ship,2305.78,3.84
73,Singapore,Berlin,10574,61.83,Truck,6163.57,5.24
74,Mumbai,London,2395,37.2,Air Freight,372.4,5.74
75,London,New York,10636,59.96,Ship,2505.01,9.7
76,Mumbai,Berlin,1585,45.87,Air Freight,2809.27,2.52
77,London,New York,4584,2.66,Ship,6528.2,9.11
78,Dubai,Sydney,9525,76.0,Air Freight,7785.14,8.47
