shipment_id,order_id,warehouse_id,partner_id,route_id,shipment_status,dispatch_date,delivery_date
1,1,170,691,1572,In Transit,2025-04-13,2024-07-31
2,2,410,288,2008,Cancelled,2024-04-12,2024-10-17
3,3,310,79,1906,Delivered,2025-04-20,2025-01-21
4,4,15,76,2414,Delivered,2024-06-12,2024-12-17
5,5,118,1263,1359,In Transit,2024-11-15,2024-10-08
6,6,394,1906,3421,In Transit,2024-02-05,2024-05-15
7,7,145,254,4860,In Transit,2024-03-19,2024-11-03
8,8,349,894,3855,Delivered,2024-12-06,2024-08-27
9,9,361,1301,3444,Delayed,2024-12-29,2024-01-16
10,10,382,1575,198,In Transit,2024-03-12,2024-11-26
11,11,294,196,2707,In Transit,2025-01-20,2025-03-01
12,12,397,1373,3783,Delayed,2024-12-06,2025-02-21
13,13,342,337,3626,In Transit,2024-07-07,2024-08-15
14,14,26,969,2698,Delayed,2025-02-03,2024-04-04
15,15,177,1,1914,In Transit,2025-02-24,2025-01-22
16,16,37,1253,2570,Delivered,2025-04-04,2024-08-21
17,17,429,413,4028,Delivered,2025-02-18,2024-11-09
18,18,494,371,3678,In Transit,2024-06-17,2024-04-23
19,19,230,1087,4223,Delayed,2024-03-05,2024-01-15
20,20,322,157,2052,Cancelled,2025-04-10,2025-01-20
21,21,102,1841,693,In Transit,2025-02-11,2025-03-06
22,22,249,1074,2562,Delayed,2024-11-24,2025-03-12
23,23,328,1836,541,Cancelled,2025-04-03,2024-01-13
24,24,36,151,863,In Transit,2025-01-05,2025-06-01
25,25,164,1800,1709,Delayed,2024-08-26,2024-05-13
26,26,472,12,4668,Delayed,2024-12-09,2025-04-09
27,27,111,201,527,Cancelled,2024-06-19,2025-06-03
28,28,277,1847,4672,Delayed,2024-02-22,2025-04-30
29,29,60,1074,2869,Cancelled,2025-01-27,2024-03-24
30,30,258,507,2792,Delayed,2025-04-02,2025-01-28
31,31,147,373,4918,Cancelled,2025-01-07,2024-11-10
32,32,267,261,1988,In Transit,2024-10-10,2025-02-13
33,33,415,67,4563,Delivered,2024-08-01,2024-12-11
34,34,269,1466,791,Delayed,2025-01-20,2025-05-19
35,35,440,1753,1486,Delivered,2024-11-16,2024-12-30
36,36,252,1851,2704,Cancelled,2024-07-10,2024-07-31
37,37,80,804,1783,In Transit,2024-07-27,2024-01-17
38,38,172,1091,2813,Cancelled,2024-08-16,2024-07-04
39,39,303,155,742,Delayed,2024-05-21,2025-05-22
40,40,106,1280,2740,Delivered,2024-07-20,2025-02-13
41,41,327,1553,4226,In Transit,2024-03-14,2024-01-24
42,42,108,48,1427,In Transit,2024-10-02,2024-07-16
43,43,229,1628,1160,Delayed,2025-03-16,2024-06-14
44,44,281,245,2968,Delayed,2025-03-08,2025-03-08
45,45,337,49,4596,Delivered,2024-07-07,2024-07-27
46,46,450,923,3637,Cancelled,2024-12-27,2024-02-20
47,47,335,435,1708,In Transit,2024-07-25,2025-04-25
48,48,93,842,249,Delayed,2024-06-10,2024-09-12
49,49,381,608,1336,Delayed,2024-11-13,2024-12-11
50,50,343,1857,1315,Delayed,2024-12-28,2024-07-14
51,51,4,1048,491,Delivered,2024-04-21,2025-05-20
52,52,137,1566,3104,Delayed,2024-10-27,2024-02-24
53,53,404,1607,4357,Delayed,2024-12-24,2024-10-24
54,54,2,715,70,Cancelled,2024-05-27,2024-12-16
55,55,359,777,3039,Cancelled,2025-01-20,2024-10-03
56,56,298,691,231,Delivered,2024-06-27,2025-03-12
57,57,68,1234,2532,Delayed,2024-09-01,2024-12-22
58,58,110,1121,2326,Delayed,2025-01-14,2024-11-24
59,59,307,1856,704,Cancelled,2025-02-23,2025-02-12
60,60,136,1127,868,Delivered,2024-06-20,2025-05-20
61,61,180,642,1776,Delivered,2024-06-19,2024-04-03
62,62,239,303,4781,In Transit,2025-02-28,2024-10-12
63,63,283,1567,4454,In Transit,2025-03-30,2024-11-07
64,64,97,842,2640,In Transit,2025-02-06,2025-01-31
65,65,167,1562,2134,Delivered,2024-05-15,2024-09-02
66,66,69,846,1805,Delayed,2025-05-09,2024-11-14
67,67,381,186,778,Delayed,2025-01-05,2024-03-07
68,68,72,1405,2389,Delayed,2024-08-07,2024-01-05
69,69,359,363,1527,Delivered,2025-03-22,2024-08-25
70,70,328,1681,3226,In Transit,2024-12-02,2024-09-22
71,71,7,64,194,Cancelled,2024-10-13,2024-02-21
72,72,112,682,1686,Delivered,2024-08-21,2024-06-18
73,73,387,1197,3360,Cancelled,2024-07-24,2024-12-26
74,74,226,1631,4031,Delivered,2025-05-08,2024-12-20
75,75,438,405,73,Delayed,2024-04-18,2024-09-25
76,76,112,1119,3008,Delivered,2024-05-02,2024-01-05
77,77,145,1542,4485,Cancelled,2024-04-27,2024-10-13
78,78,201,204,2339,Delayed,2024-06-29,2024-05-13
79,79,279,593,4714,Delivered,2024-06-08,2024-06-08
80,80,252,1006,957,Delivered,2024-12-28,2024-05-30
81,81,394,889,4572,Delivered,2025-03-17,2025-03-13
82,82,330,336,4070,Cancelled,2024-05-04,2024-09-14
83,83,12,539,2607,Delivered,2024-03-19,2024-06-02
84,84,396,678,1309,Cancelled,2024-06-15,2024-06-27
