movement_id,shipment_id,from_hub,to_hub,movement_mode,departure_time,arrival_time,movement_status
1,1,441,360,Cargo Van,2024-10-13 13:00:00,2024-04-24 13:00:00,In Transit
2,2,453,62,Air Freight,2024-09-14 17:00:00,2024-01-31 05:00:00,Delayed
3,3,121,413,Truck,2024-06-07 19:00:00,2024-05-11 16:00:00,Delayed
4,4,470,53,Truck,2024-04-19 01:00:00,2024-06-17 13:00:00,Completed
5,5,357,280,Air Freight,2024-04-04 17:00:00,2024-09-18 21:00:00,In Transit
6,6,333,163,Air Freight,2024-03-19 05:00:00,2024-10-10 08:00:00,Completed
7,7,100,210,Cargo Van,2024-01-15 19:00:00,2024-09-14 05:00:00,Delayed
8,8,47,326,Air Freight,2024-08-11 19:00:00,2024-11-25 07:00:00,Delayed
9,9,272,441,Ship,2024-09-26 04:00:00,2024-09-23 05:00:00,Completed
10,10,152,107,Ship,2024-07-12 09:00:00,2024-04-01 17:00:00,Completed
11,11,176,144,Ship,2024-11-08 04:00:00,2024-05-03 21:00:00,In Transit
12,12,23,161,Cargo Van,2024-05-28 05:00:00,2024-03-09 14:00:00,Completed
13,13,232,432,Truck,2024-07-05 15:00:00,2024-04-26 16:00:00,Delayed
14,14,443,55,Air Freight,2024-11-13 16:00:00,2024-10-30 11:00:00,Completed
15,15,148,94,Cargo Van,2024-09-11 10:00:00,2024-05-08 12:00:00,In Transit
16,16,241,116,Truck,2024-07-04 17:00:00,2024-12-04 09:00:00,In Transit
17,17,478,130,Cargo Van,2024-03-25 19:00:00,2024-11-19 04:00:00,Completed
18,18,359,298,Truck,2024-01-08 15:00:00,2024-06-05 21:00:00,Completed
19,19,189,168,Cargo Van,2024-01-07 17:00:00,2024-09-11 16:00:00,In Transit
20,20,460,199,Air Freight,2024-05-19 11:00:00,2024-08-19 17:00:00,Completed
21,21,495,150,Truck,2024-02-26 20:00:00,2024-06-05 13:00:00,In Transit
22,22,463,436,Air Freight,2024-09-23 13:00:00,2024-01-24 14:00:00,In Transit
23,23,229,61,Truck,2024-04-03 07:00:00,2024-07-29 17:00:00,In Transit
24,24,147,170,Ship,2024-05-14 08:00:00,2024-08-07 13:00:00,Completed
25,25,304,467,Cargo Van,2024-02-18 22:00:00,2024-09-15 20:00:00,In Transit
26,26,206,68,Air Freight,2024-02-26 14:00:00,2024-03-15 19:00:00,Completed
27,27,25,200,Cargo Van,2024-03-17 19:00:00,2024-12-07 03:00:00,In Transit
28,28,143,67,Ship,2024-06-14 01:00:00,2024-09-13 13:00:00,Completed
29,29,72,228,Air Freight,2024-07-04 00:00:00,2024-11-06 10:00:00,In Transit
30,30,193,32,Cargo Van,2024-09-14 13:00:00,2024-05-10 20:00:00,In Transit
31,31,63,498,Air Freight,2024-03-27 22:00:00,2024-10-02 05:00:00,Delayed
32,32,49,233,Air Freight,2024-04-21 21:00:00,2024-11-11 15:00:00,Completed
33,33,408,361,Truck,2024-02-24 00:00:00,2024-07-07 11:00:00,In Transit
34,34,312,379,Cargo Van,2024-03-29 17:00:00,2024-08-03 00:00:00,In Transit
35,35,320,22,Ship,2024-11-11 15:00:00,2024-10-06 17:00:00,In Transit
36,36,97,488,Truck,2024-08-24 20:00:00,2024-01-22 13:00:00,In Transit
37,37,257,491,Truck,2024-01-05 08:00:00,2024-02-14 07:00:00,Delayed
38,38,326,385,Cargo Van,2024-06-14 08:00:00,2024-04-22 11:00:00,In Transit
39,39,45,111,Cargo Van,2024-04-09 18:00:00,2024-11-14 05:00:00,In Transit
40,40,255,302,Truck,2024-03-28 19:00:00,2024-05-07 13:00:00,Completed
41,41,82,202,Ship,2024-08-11 18:00:00,2024-01-29 09:00:00,Delayed
42,42,248,452,Air Freight,2024-06-17 01:00:00,2024-07-08 18:00:00,In Transit
43,43,116,24,Cargo Van,2024-11-08 03:00:00,2024-09-17 00:00:00,Delayed
44,44,436,488,Cargo Van,2024-02-18 02:00:00,2024-08-23 07:00:00,Completed
45,45,208,238,Cargo Van,2024-03-15 11:00:00,2024-07-08 05:00:00,In Transit
46,46,484,64,Ship,2024-01-13 13:00:00,2024-08-04 21:00:00,Completed
47,47,135,418,Air Freight,2024-06-26 16:00:00,2024-09-17 10:00:00,In Transit
48,48,75,90,Truck,2024-06-06 12:00:00,2024-03-08 16:00:00,In Transit
