warehouse_id,warehouse_name,city,country,capacity,manager_name,efficiency_score,operational_cost_usd
1,FedEx Hub 1,Sydney,UK,78702,Manager_1,89.77,127477
2,FedEx Hub 2,Dubai,India,17848,Manager_2,81.2,26649
3,FedEx Hub 3,Mumbai,UK,95839,Manager_3,82.43,119635
4,FedEx Hub 4,Mumbai,UK,53222,Manager_4,96.38,199917
5,FedEx Hub 5,London,Australia,63662,Manager_5,78.73,117363
6,FedEx Hub 6,New York,Australia,41488,Manager_6,72.78,36727
7,FedEx Hub 7,Mumbai,Canada,58804,Manager_7,85.9,29496
8,FedEx Hub 8,Berlin,Canada,84756,Manager_8,79.52,139524
9,FedEx Hub 9,Berlin,USA,40693,Manager_9,95.31,138578
10,FedEx Hub 10,Toronto,USA,83390,Manager_10,84.99,68833
11,FedEx Hub 11,Dubai,Australia,82832,Manager_11,79.19,195087
12,FedEx Hub 12,Dubai,USA,30231,Manager_12,94.01,74547
13,FedEx Hub 13,Berlin,India,45701,Manager_13,86.5,67972
14,FedEx Hub 14,Mumbai,UAE,88309,Manager_14,96.03,129573
15,FedEx Hub 15,Toronto,India,61750,Manager_15,86.2,45034
16,FedEx Hub 16,Berlin,Germany,36080,Manager_16,70.59,154302
17,FedEx Hub 17,London,UAE,30082,Manager_17,80.71,97400
18,FedEx Hub 18,New York,UK,61953,Manager_18,86.52,117936
19,FedEx Hub 19,London,Australia,49692,Manager_19,91.47,140641
20,FedEx Hub 20,New York,Germany,26179,Manager_20,77.02,116788
21,FedEx Hub 21,Berlin,UAE,38311,Manager_21,84.91,99716
22,FedEx Hub 22,London,Singapore,34604,Manager_22,83.95,69125
23,FedEx Hub 23,London,USA,15098,Manager_23,82.19,106643
24,FedEx Hub 24,Toronto,Australia,93159,Manager_24,73.89,47255
25,FedEx Hub 25,Singapore,Australia,82710,Manager_25,82.47,141583
26,FedEx Hub 26,Berlin,Canada,88307,Manager_26,82.3,199971
27,FedEx Hub 27,London,USA,93412,Manager_27,82.86,176347
28,FedEx Hub 28,Toronto,Canada,22508,Manager_28,95.66,176171
29,FedEx Hub 29,London,Canada,69389,Manager_29,87.68,144696
30,FedEx Hub 30,Dubai,Germany,19240,Manager_30,95.85,60405
31,FedEx Hub 31,Sydney,India,19619,Manager_31,97.75,111373
32,FedEx Hub 32,Singapore,Germany,46015,Manager_32,87.39,28220
33,FedEx Hub 33,London,UK,56878,Manager_33,81.59,42506
34,FedEx Hub 34,Singapore,Canada,91349,Manager_34,83.13,124715
35,FedEx Hub 35,Singapore,UK,49212,Manager_35,79.19,122097
36,FedEx Hub 36,Mumbai,Canada,94471,Manager_36,81.93,121224
37,FedEx Hub 37,London,India,76682,Manager_37,85.88,188155
38,FedEx Hub 38,Berlin,USA,65328,Manager_38,70.13,56658
39,FedEx Hub 39,Dubai,Australia,35490,Manager_39,89.04,41441
40,FedEx Hub 40,Toronto,UAE,60373,Manager_40,85.99,142991
41,FedEx Hub 41,Singapore,Canada,85440,Manager_41,88.12,68048
42,FedEx Hub 42,New York,UK,53730,Manager_42,78.07,47577
43,FedEx Hub 43,London,USA,55691,Manager_43,96.11,99515
44,FedEx Hub 44,Singapore,UK,11691,Manager_44,87.22,183849
45,FedEx Hub 45,Dubai,India,93339,Manager_45,92.05,46109
46,FedEx Hub 46,Dubai,UK,84429,Manager_46,84.21,101053
47,FedEx Hub 47,Berlin,USA,29246,Manager_47,86.52,168554
48,FedEx Hub 48,Sydney,UK,29043,Manager_48,75.29,160895
49,FedEx Hub 49,London,Singapore,81811,Manager_49,85.48,20256
50,FedEx Hub 50,Toronto,Germany,12403,Manager_50,89.78,77532
51,FedEx Hub 51,New York,Singapore,72608,Manager_51,73.37,140691
52,FedEx Hub 52,Toronto,UK,49478,Manager_52,82.02,62110
53,FedEx Hub 53,Mumbai,Singapore,56744,Manager_53,70.09,140820
54,FedEx Hub 54,Dubai,USA,41189,Manager_54,96.73,46561
55,FedEx Hub 55,Dubai,UK,26717,Manager_55,77.43,49078
56,FedEx Hub 56,Berlin,UK,10877,Manager_56,98.88,109841
57,FedEx Hub 57,Mumbai,Australia,75559,Manager_57,83.58,143669
58,FedEx Hub 58,Dubai,Singapore,18257,Manager_58,71.85,168446
59,FedEx Hub 59,Sydney,Australia,47008,Manager_59,91.56,127591
60,FedEx Hub 60,Sydney,UAE,61130,Manager_60,73.49,35223
61,FedEx Hub 61,Mumbai,Canada,35516,Manager_61,91.76,97486
62,FedEx Hub 62,London,USA,97090,Manager_62,89.98,41824
63,FedEx Hub 63,Singapore,UAE,12982,Manager_63,94.12,128278
64,FedEx Hub 64,Singapore,USA,63177,Manager_64,89.37,198113
65,FedEx Hub 65,Dubai,UAE,86974,Manager_65,96.99,46670
